nombreImagen:tEjecucionSeam:tEjecucionRun:tEtotal:memoriaSeamCarvingNeta:memoriaRunLenthNeta:memoriaCompresion
01cowburps-promo-mediumSquareAt3X-v2,csv:444,4975996017456:5,624729156494141:450,12232875823975:131,765625:16,5546875:148,3203125
03iFr8nE,csv:5,48599910736084:0,8495175838470459:6,335516691207886:4,4296875:0,0:4,4296875
0a3a9f3f985ccfbf398c345807117cf8,csv:2,309657096862793:1,4047667980194092:3,714423894882202:3,125:0,0:3,125
0be0cecd04cf8cf94e1ab24e6b0388d47a-17-cow,csv:26,581088542938232:1,3408021926879883:27,92189073562622:12,9765625:0,0:12,9765625
0cows-1264546,csv:80,45997548103333:1,90205717086792:82,36203265190125:41,46875:0,28515625:41,75390625
1-MAIN-dairy-cow-with-twin-calves_4755622a-c-John-Eveson_Flpa_imageBROKER_REX_Shutterstock,csv:31,23085069656372:1,4037847518920898:32,63463544845581:17,67578125:0,00390625:17,6796875
1000-secret-lives-cows-5,csv:39,43231463432312:1,4760637283325195:40,90837836265564:20,32421875:0,0:20,32421875
1012746,csv:11,538600206375122:0,9377250671386719:12,476325273513794:7,27734375:0,0:7,27734375
1012758,csv:57,48909401893616:1,6651837825775146:59,15427780151367:20,51953125:0,0:20,51953125
1024px-Cow-IMG_2050-640x480,csv:15,270077228546143:1,02738356590271:16,297460794448853:8,3671875:0,0:8,3671875
1105FMcovercows-1200x900,csv:98,5085060596466:2,060009717941284:100,56851577758789:36,828125:0,0:36,828125
11536890-16x9-xlarge (1),csv:29,66873598098755:1,259903907775879:30,928639888763428:11,30078125:0,0:11,30078125
11536890-16x9-xlarge,csv:30,24431610107422:1,4169890880584717:31,66130518913269:11,04296875:0,0:11,04296875
1200px-Cow_female_black_white,csv:105,72539019584656:2,5023880004882812:108,22777819633484:29,828125:0,0546875:29,8828125
1200x475-cows-raised-for-meat,csv:56,00521731376648:1,6402373313903809:57,64545464515686:15,56640625:0,0:15,56640625
1200x475-jasper-discarded-dairy-calf,csv:54,89957284927368:1,5680391788482666:56,46761202812195:15,515625:0,0:15,515625
1371523449000-GAN-FLUFFY-COWS-061713-1306172246_16_9,csv:129,00140857696533:2,4051713943481445:131,40657997131348:32,26171875:1,1640625:33,42578125
1374ebfb94f040f66bea611536c8eb3157-11-cows,csv:58,912808656692505:2,042917013168335:60,95572566986084:26,4453125:0,01171875:26,45703125
1412383,csv:5,942412614822388:1,7179572582244873:7,660369873046875:6,0390625:0,0:6,0390625
1519796683332,csv:919,6005136966705:7,562291383743286:927,1628050804138:197,55078125:62,86328125:260,4140625
15Joy-superJumbo,csv:376,6460471153259:4,166395425796509:380,81244254112244:125,734375:18,98046875:144,71484375
19049054600_99ec9fe14d_k,csv:418,0760040283203:4,546334743499756:422,62233877182007:117,47265625:6,078125:123,55078125
1DBD1058-B266-4717-84D2-29B53615CC2B_w1200_r1,csv:63,23929738998413:1,4912092685699463:64,73050665855408:31,265625:0,00390625:31,26953125
1_3IHNk-ZginNh8yz4pAqeTQ,csv:2030,8245685100555:10,909558773040771:2041,7341272830963:347,30859375:86,15625:433,46484375
1_D81kc_hFIiW-07lWfMx2nQ (1),csv:1664,843512058258:10,563829898834229:1675,4073419570923:359,28125:25,6171875:384,8984375
1_D81kc_hFIiW-07lWfMx2nQ,csv:1665,3993430137634:10,501484394073486:1675,900827407837:357,25390625:29,546875:386,80078125
2,csv:9,216215372085571:0,6825375556945801:9,898752927780151:5,96875:0,0:5,96875
200_2D00_IssuesFoodCow1,csv:1,0094349384307861:0,9126055240631104:1,9220404624938965:1,4375:0,0:1,4375
2019_06-07_FSNY_Princess_cow_DSC_9428_CREDIT_Farm_Sanctuary-1-3,csv:594,2290735244751:4,9286253452301025:599,1576988697052:151,53515625:0,75:152,28515625
2754idea99HF-cow-female-breed,csv:5,021656513214111:1,123997688293457:6,145654201507568:3,74609375:0,0:3,74609375
29STEER-superJumbo,csv:361,00811433792114:3,919064998626709:364,92717933654785:119,47265625:0,42578125:119,8984375
3,csv:2695,6369349956512:13,731880187988281:2709,3688151836395:484,62890625:8,73828125:493,3671875
300px-Cow_eating_some_grass,csv:2,2000741958618164:1,0183534622192383:3,2184276580810547:5,02734375:0,0:5,02734375
3978,csv:109,31286907196045:2,2164881229400635:111,52935719490051:68,7734375:0,125:68,8984375
3BD05186-CD32-42AC-BC3D-3D01D14826FF_w1200_r1,csv:61,343404054641724:1,3978550434112549:62,74125909805298:21,98046875:0,0:21,98046875
4351,csv:109,2776243686676:2,19848370552063:111,47610807418823:61,3125:0,02734375:61,33984375
43957380_401,csv:12,45892858505249:0,7198152542114258:13,178743839263916:7,390625:0,0:7,390625
439_cattle-methane-yellow,csv:19,280054330825806:0,9152731895446777:20,195327520370483:10,53125:0,0:10,53125
4500 (1),csv:81,99581861495972:1,806520700454712:83,80233931541443:44,2578125:3,30859375:47,56640625
4500,csv:81,66110301017761:1,8175785541534424:83,47868156433105:32,13671875:0,125:32,26171875
47863948_401,csv:12,440396308898926:0,7343285083770752:13,174724817276001:7,19140625:0,0:7,19140625
4926141204_c209d47d18_z,csv:10,682857513427734:0,6971559524536133:11,380013465881348:6,04296875:0,0:6,04296875
5-consejos-saludables-para-criar-una-vaca-de-leche,csv:37,12356519699097:1,1157846450805664:38,23934984207153:15,75:0,0:15,75
50907943_401,csv:12,44822645187378:0,724280595779419:13,172507047653198:7,4375:0,0:7,4375
5256,csv:108,52722549438477:2,211587905883789:110,73881340026855:63,88671875:0,14453125:64,03125
55b643a71700002600565710,csv:201,50884890556335:2,614487409591675:204,12333631515503:67,08984375:0,0:67,08984375
59668ab7e57487d707ccb1c72b277df3,csv:12,530098676681519:0,7341458797454834:13,264244556427002:7,48046875:0,0:7,48046875
5f884a6bea23a5001903d843,csv:16,474835634231567:0,8537476062774658:17,328583240509033:9,8984375:0,0:9,8984375
